重庆IPTV,#genre#
﻿CCTV1,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000231?AuthInfo=xxx
CCTV1,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000285?AuthInfo=xxx
CCTV2,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000295?AuthInfo=xxx
CCTV2,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000219?AuthInfo=xxx
CCTV3,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000302?AuthInfo=xxx
CCTV3,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000343?AuthInfo=xxx
CCTV4,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000342?AuthInfo=xxx
CCTV4,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000210?AuthInfo=xxx
CCTV5,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000304?AuthInfo=xxx
CCTV5,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000303?AuthInfo=xxx
CCTV5+,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000230?AuthInfo=xxx
CCTV6,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000305?AuthInfo=xxx
CCTV6,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000306?AuthInfo=xxx
CCTV7,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000290?AuthInfo=xxx
CCTV7,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000212?AuthInfo=xxx
CCTV8,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000307?AuthInfo=xxx
CCTV8,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000308?AuthInfo=xxx
CCTV9,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000294?AuthInfo=xxx
CCTV9,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000214?AuthInfo=xxx
CCTV10,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000293?AuthInfo=xxx
CCTV10,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000213?AuthInfo=xxx
CCTV11,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000220?AuthInfo=xxx
CCTV12,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000292?AuthInfo=xxx
CCTV12,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000218?AuthInfo=xxx
CCTV13,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000217?AuthInfo=xxx
CCTV14,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000291?AuthInfo=xxx
CCTV14,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000215?AuthInfo=xxx
CCTV15,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000216?AuthInfo=xxx
CCTV16,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000381?AuthInfo=xxx
CCTV17,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000346?AuthInfo=xxx
CCTV17,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000348?AuthInfo=xxx
CGTN,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000344?AuthInfo=xxx
安徽卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000296?AuthInfo=xxx
安徽卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000200?AuthInfo=xxx
北京卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000229?AuthInfo=xxx
北京卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000204?AuthInfo=xxx
东方卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000232?AuthInfo=xxx
东方卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000199?AuthInfo=xxx
东南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000379?AuthInfo=xxx
东南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000195?AuthInfo=xxx
甘肃卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000184?AuthInfo=xxx
广东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000221?AuthInfo=xxx
广东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000188?AuthInfo=xxx
广西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000191?AuthInfo=xxx
贵州卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000340?AuthInfo=xxx
贵州卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000196?AuthInfo=xxx
河北卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000341?AuthInfo=xxx
河北卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000197?AuthInfo=xxx
河南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000192?AuthInfo=xxx
黑龙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000227?AuthInfo=xxx
黑龙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000198?AuthInfo=xxx
湖北卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000185?AuthInfo=xxx
湖南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000228?AuthInfo=xxx
湖南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000207?AuthInfo=xxx
吉林卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000187?AuthInfo=xxx
江苏卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000225?AuthInfo=xxx
江苏卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000205?AuthInfo=xxx
江西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000378?AuthInfo=xxx
江西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000202?AuthInfo=xxx
辽宁卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000260?AuthInfo=xxx
辽宁卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000201?AuthInfo=xxx
旅游卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000190?AuthInfo=xxx
内蒙古卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000180?AuthInfo=xxx
宁夏卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000194?AuthInfo=xxx
青海卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000182?AuthInfo=xxx
山东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000261?AuthInfo=xxx
山东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000183?AuthInfo=xxx
山西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000179?AuthInfo=xxx
陕西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000189?AuthInfo=xxx
深圳卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000226?AuthInfo=xxx
深圳卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000177?AuthInfo=xxx
四川卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000377?AuthInfo=xxx
四川卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000203?AuthInfo=xxx
天津卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000223?AuthInfo=xxx
天津卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000186?AuthInfo=xxx
西藏卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000178?AuthInfo=xxx
新疆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000181?AuthInfo=xxx
云南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000208?AuthInfo=xxx
浙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000224?AuthInfo=xxx
浙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000206?AuthInfo=xxx
社会与法,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000375?AuthInfo=xxx
社会与法,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000255?AuthInfo=xxx
时尚生活,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000369?AuthInfo=xxx
时尚生活,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000252?AuthInfo=xxx
手持电视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000246?AuthInfo=xxx
文体娱乐,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000370?AuthInfo=xxx
文体娱乐,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000254?AuthInfo=xxx
新农村,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000253?AuthInfo=xxx
重庆科教,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000373?AuthInfo=xxx
重庆科教,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000256?AuthInfo=xxx
重庆汽摩,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000364?AuthInfo=xxx
重庆少儿,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000374?AuthInfo=xxx
重庆少儿,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000245?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000365?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000251?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000193?AuthInfo=xxx
重庆新闻,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000367?AuthInfo=xxx
重庆新闻,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000258?AuthInfo=xxx
重庆移动,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000249?AuthInfo=xxx
