重庆有线,#genre#
CCTV1综合高清,http://localhost:8080/cqyx.php?id=cctv1HD
CCTV2财经高清,http://localhost:8080/cqyx.php?id=cctv2HD
CCTV3综艺高清,http://localhost:8080/cqyx.php?id=cctv3HD
CCTV4中文国际高清,http://localhost:8080/cqyx.php?id=cctv4HD
CCTV5体育高清,http://localhost:8080/cqyx.php?id=cctv5HD
CCTV5+赛事高清,http://localhost:8080/cqyx.php?id=cctv5SportHD
CCTV6电影高清,http://localhost:8080/cqyx.php?id=cctv6HD
CCTV7国防军事高清,http://localhost:8080/cqyx.php?id=cctv7HD
CCTV8电视剧高清,http://localhost:8080/cqyx.php?id=cctv8HD
CCTV9纪录高清,http://localhost:8080/cqyx.php?id=cctv9HD
CCTV10科教高清,http://localhost:8080/cqyx.php?id=cctv10HD
CCTV11戏曲高清,http://localhost:8080/cqyx.php?id=cctv11HD
CCTV12社会与法高清,http://localhost:8080/cqyx.php?id=cctv12HD
CCTV13新闻高清,http://localhost:8080/cqyx.php?id=CCTVNewsHD
CCTV14少儿高清,http://localhost:8080/cqyx.php?id=cctvseHD
CCTV15音乐高清,http://localhost:8080/cqyx.php?id=cctv15HD
CCTV16奥林匹克高清,http://localhost:8080/cqyx.php?id=cctv16HD
CCTV17农业农村高清,http://localhost:8080/cqyx.php?id=cctv17HD
重庆卫视高清,http://localhost:8080/cqyx.php?id=chongqingHD
重庆新闻高清,http://localhost:8080/cqyx.php?id=CQTVNewsHD
重庆影视高清,http://localhost:8080/cqyx.php?id=cqyingshiHD
重庆社会与法高清,http://localhost:8080/cqyx.php?id=CQTVTrendyHD
重庆时尚生活高清,http://localhost:8080/cqyx.php?id=cqssgwHD
重庆新农村高清,http://localhost:8080/cqyx.php?id=cqggncHD
重庆少儿高清,http://localhost:8080/cqyx.php?id=cqseHD
重庆文体娱乐高清,http://localhost:8080/cqyx.php?id=cqwtylHD
重庆科教高清,http://localhost:8080/cqyx.php?id=CQTVkejiaoHD
爱看导视高清,http://localhost:8080/cqyx.php?id=aikanHD
重庆汽摩高清,http://localhost:8080/cqyx.php?id=cqcarSD
重庆移动高清,http://localhost:8080/cqyx.php?id=mryyHD
重广融媒,http://localhost:8080/cqyx.php?id=cqrongmei
江苏卫视高清,http://localhost:8080/cqyx.php?id=jiangsuHD
北京卫视高清,http://localhost:8080/cqyx.php?id=beijingHD
浙江卫视高清,http://localhost:8080/cqyx.php?id=zhejiangHD
上海卫视高清,http://localhost:8080/cqyx.php?id=shanghaiHD
深圳卫视高清,http://localhost:8080/cqyx.php?id=shenzhenHD
辽宁卫视高清,http://localhost:8080/cqyx.php?id=liaoningHD
天津卫视高清,http://localhost:8080/cqyx.php?id=tianjinHD
贵州卫视高清,http://localhost:8080/cqyx.php?id=guizhouHD
四川卫视高清,http://localhost:8080/cqyx.php?id=sichuanHD
云南卫视高清,http://localhost:8080/cqyx.php?id=yunnanSD
